/sentence/@id;/sentence/#id;/sentence/aspectTerms/aspectTerm/@from;polarity;aspect_term;/sentence/aspectTerms/aspectTerm/@to;sentence
2339;1;41;neutral;cord;45;I charge it at night and skip taking the cord with me because of the good battery life.
2339;1;74;positive;battery life;86;I charge it at night and skip taking the cord with me because of the good battery life.
812;2;;;;;I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.
1316;3;27;negative;service center;41;"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."
1316;3;109;negative;"""sales"" team";121;"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."
1316;3;4;neutral;tech guy;12;"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."
2328;4;;;;;I investigated netbooks and saw the Toshiba NB305-N410BL.
2193;5;;;;;The other day I had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.
2005;6;14;positive;quality;21;it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.
2005;6;36;positive;GUI;39;it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.
2005;6;118;positive;applications;130;it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.
2005;6;143;positive;use;146;it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.
2789;7;8;positive;start up;16;Easy to start up and does not overheat as much as other laptops.
425;8;;;;;Sad very SAD.
76;9;46;positive;features;54;I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!
76;9;77;positive;iChat;82;I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!
76;9;84;positive;Photobooth;94;I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!
76;9;96;positive;garage band;107;I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!
747;10;;;;;Needless to say a PC that can't support a cell phone is less than useless!
80;11;36;positive;features;44;Great laptop that offers many great features!
796;12;;;;;they have done absolutely nothing to fix the computer problem.
